Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;Brutto: Linjakilometrit kuukaudessa;524346,9583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73133,33333;83333,33333;0;0;0;0;0;0;426,5;0;0;0;0;0;0;0;0;0
2013;Brutto: Kaluston määrä YHTEENSÄ;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;182;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Brutto: Kaluston keskimääräinen EURO-luokka;3,594024605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,762430939;4,252747253;0;2,222222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Brutto: Liikennöintikorvaus yhteensä;441337388,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38958174;36208000;0;563316,37;0;0;0;0;370500;0;0;0;0;0;0;0;486198;0
2013;Brutto: Liikennöintikorvaus kuukaudessa;36778115,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3246514,5;3017333,333;0;46943,03083;0;0;0;0;30875;0;0;0;0;0;0;0;40516,5;0
2013;Brutto: Lipputulot kertalipuista yhteensä;64433230,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5387000;5614000;0;0;0;0;0;0;12200;0;0;0;0;0;0;0;149689;0
2013;Brutto: Lipputulot kertalipuista kuukaudessa;5369435,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448916,6667;467833,3333;0;0;0;0;0;0;1016,666667;0;0;0;0;0;0;0;12474,08333;0
2013;Brutto: Lipputulot arvolipuista yhteensä;72825649,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13858000;4908750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Brutto: Lipputulot arvolipuista kuukaudessa;6068804,165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1154833,333;409062,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;Brutto: Lipputulot kausilipuista yhteensä;140609792,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9104000;5629000;0;0;0;0;0;0;36600;0;0;0;0;0;0;0;29815;0
